professor,variant_names,
Sherif Mahmoud Hanafy,"MAHMOUD, SHERIF; Dr. Mahmoud, Sherif; Sherif Dr. Mahmoud; Sherif Mahmoud; Hanafy, Sherif; Sherif Hanafy; Hanafy, Sherif M.; Sherif M. Hanafy; Mahmoud Hanafy Sherif",
Shirish Patil,"Patil, Shirish",
Sidqi A. Abu-Khamsin,"Abu-Khamsin, Sidqi A.; Abu-Khamsin, Sidqi; Abu-Khamsin, Sidiqi A.; Sidiqi A. Abu-Khamsin; Sidqi Abu-Khamsin",
Simone Pilia,"Pilia, Simone",
Sivabalan Vijayalakshmi,"Vijayalakshmi, Sivabalan",
Stephen Sonnenberg,"Sonnenberg, Stephen",
Stewart A. Greenhalgh,"Greenhalgh, Stewart A.; Greenhalgh, Stewart; Stewart Greenhalgh",
Tahir Hussain,"Hussain, Tahir",
Tawfik A. Saleh,"Saleh, Tawfik A.; Tawfik, Abdo Saleh; Abdo Saleh Tawfik; Tawfik Abdoh Saleh; Tawfik Saleh",
Theis Solling,"Solling, Theis",
Thomas Garrison,"Garrison, Thomas",
Wail A. Mousa,Mousa A Wail,
Waleed Mohammed Rashad Abdulghani,"Abdulghani, Waleed M. R.; Abdulghani, Waleed; Abdulghani, Dr. Waleed; Abdulghani, Waleed Mohammed; Waleed Mohammed Abdulghani; Abdulghani, Waleed Mohammed Rashad; Waleed M. R. Abdulghani; Rashad, Waleed; Waleed Rashad; Waleed Abdulghani; Dr. Waleed Abdulghani",
Warren W. Wood,"Wood, Warren W.",
Wei Zhou,"Zhou, Wei; Wei, Zhou; Zhou Wei",
Yahya Chedly,"Chedly, Yahya",
Z. R. El-Naggar,"El-Naggar, Z.R.; El-Naggar, Z. R.; Dr. Z. R. El-Naggar; Z.R. El-Naggar",
Z. Y. Al-Harari,"Al-Harari, Z. Y.; Al-Harari, Z; Z Al-Harari",
ZAIN H.A YAMANI,"YAMANI, ZAIN H.A",
Zeini J. Al-Satti,"Al-Satti, Zeini J.",
Azzedine M. Zerguine,"Zerguine, Azzedine; Azzedine, Zerguine M.; Zerguine M. Azzedine; Azzedine Zerguine",
Sedat Inan,,
Saeid Aboud Al-Ghamdi,,
Shaikh Abdur Razzak Razzak,,
Shaikh Asrof Ali,,
Yousef Al Mutawah,,
